confirm_id,design_id,condition,baseline_replicate,replicate,map_id,map_hash,method,endpoint_type,actual_groups,retained_information,baseline_information,continuation_index,viability,final_population_hash
D0,A_high_2,selective,D0_r07,7,m004_affinity_rank_group,92e56b0f11cdce879476507882d715f1eecc12de134fc3982530e28ffd4eba29,affinity_rank_group,intermediate,4,0.001481099793845324,0.3176800486041587,1,8.2028125,8de714bd38a93d4769fa104f0e94348c1166dfd0f019eebc12527961625c7ca5
D0,A_high_2,selective,D0_r07,7,m005_balanced_random_group,04a74209e8dcd69b7ec938b6492b48b960e41d4a73c85f733213da8532e73d49,balanced_random_group,intermediate,8,0.002585164106495078,0.3176800486041587,1,8.191688368055557,91186f12f0a6fa18c2903682fbf00c751dd3e500c70ad9fe4fc385a68359721d
D0,A_high_2,selective,D0_r07,7,m006_affinity_rank_group,0a19adabdd017fc722384804e89caf4ecf35837689486f63c24094087da5c2ba,affinity_rank_group,intermediate,8,0.002396007781393133,0.3176800486041587,1,8.201749131944446,19539743e3b0e99008fb6b3f97e9d531ee99943d0eea5b5514271b526ba7e86f
D0,A_high_2,selective,D0_r07,7,m007_balanced_random_group,848d2d075b0b38086c555c9d0d8524dccec4f14f30d66b4673f732303caf3b02,balanced_random_group,intermediate,16,0.005120137354932048,0.3176800486041587,1,8.245928819444446,d082274049f3773a51befa36fd52bb00ca746863ed809a0a52816660a68554a6
D0,A_high_2,selective,D0_r07,7,m008_affinity_rank_group,d176c8d0ee881709b5af7061b49578d8041bef9dde73ceb9e47e4dd86f7ee987,affinity_rank_group,intermediate,16,0.005257309738163899,0.3176800486041587,1,8.244952256944444,a3bee8035310bc27008964f9661bb7f8d530b28f28325ad8ac47f542dab8a9ad
D0,A_high_2,selective,D0_r07,7,m009_balanced_random_group,8471d3b7d2a757d28b10f6d16b93b4054dd06f1fdee394c0a09cb0b6aab741ce,balanced_random_group,intermediate,32,0.010135534439840957,0.3176800486041587,1,8.312686631944445,c42aebd412f4e70ab5baea86eb89626a964577fe12106da43eab495a48fabf96
D0,A_high_2,selective,D0_r07,7,m010_affinity_rank_group,a08bb91ec0e66d0b3afe5332032fd3fb6769016bc04c2710b5e01a8e599df454,affinity_rank_group,intermediate,32,0.010116307053735833,0.3176800486041587,1,8.322643229166669,d9ef027039e617bf50cdd76d53d48310186a0941ba884aa4810384c2b7bf36a1
D0,A_high_2,selective,D0_r07,7,m011_balanced_random_group,4f9b5634a7d1bdacc1d585643a286967dc0947786f9e18f05c5d84fe662c78d7,balanced_random_group,intermediate,64,0.02203915186186208,0.3176800486041587,1,8.443528645833332,5e2d6439a0fb09bd3d8d0f418ce3ff9aa3e97d222c2a605bce3c621cdb74b4cc
D0,A_high_2,selective,D0_r07,7,m012_affinity_rank_group,6ac4e014d135d7a7fbd4592fdf320f48570dc4bce5e1a5c2ca6054715b80f98a,affinity_rank_group,intermediate,64,0.020263780412172,0.3176800486041587,1,8.465564236111112,dab97c33e8e7ec6f0107fb0054cf844c6e444585306ef770b8a01a3244f03d49
D0,A_high_2,selective,D0_r07,7,m013_balanced_random_group,8c867de60c19d7bde11f4cc8d3068f7701c8f347c9f932320be77db3baf097e5,balanced_random_group,intermediate,128,0.04645142061718502,0.3176800486041587,1,8.859739583333335,18d90949eccd7ad967972b3bc59eb4a8ba9643020c06362b7bc1524706661338
D0,A_high_2,selective,D0_r07,7,m014_affinity_rank_group,4c0d0a036a5c51abb14f88b143c35a9a2e7cecb590d4d0752b078fe3b59a18dd,affinity_rank_group,intermediate,128,0.04073484236607483,0.3176800486041587,1,8.823476562500002,d45a07d3384228782c907d7dd571d19457a3fd5fd06b101f2e327d1be144919c
D0,A_high_2,selective,D0_r07,7,m015_balanced_random_group,e0af73e8f613a1ebdf93671723d799f6c478b0888f37d40a4251e5bfa3441ce6,balanced_random_group,intermediate,256,0.09039841020069626,0.3176800486041587,1,9.3966796875,af791f8ce66cf5a05d81878e7104eea50cd428cab44f0694269d1167cb128c4d
D0,A_high_2,selective,D0_r07,7,m016_affinity_rank_group,cf78b05538711825e0795152b13c3d2c15b5cd16f89c1995f7b006d8bc57c6a2,affinity_rank_group,intermediate,256,0.08883333697178379,0.3176800486041587,1,9.472118055555553,70d657bc3a59d5c3714ce1418c450ee46c4bca689a372b123ebb0ca2246bfcbf
D0,A_high_2,selective,D0_r07,7,m017_balanced_random_group,624eb3be9bfd0f1a3005c27c92924e9e5a273a32f646217df21900a4492271ec,balanced_random_group,intermediate,512,0.17619206179363034,0.3176800486041587,1,10.530950520833334,e2d8d0989dbb3e49a1c7268ab4af38de6954aa1e4427eb6451e450729346a67e
D0,A_high_2,selective,D0_r07,7,m018_affinity_rank_group,24a6acb87a7364b0b1cbbe6fecc84df53e5243c78a06a6c6c4e7354b3e359435,affinity_rank_group,intermediate,512,0.18090874610144708,0.3176800486041587,1,10.594726562500002,aab8acd51ed7d33f58186f2f7dde8fc68eb72e02bc24e3d00db685eb019b9a41
D0,A_high_2,selective,D0_r07,7,m019_contiguous_substring,16cfd655e57fba08a658c1d50e1fe5976b2f905eee09ec260833cfb2b49d6f38,contiguous_substring,intermediate,4,0.0009868587952723247,0.3176800486041587,1,8.176666666666666,f71f5f75a17d3d500a2b6d5b77d93f039d80d552de758dbd06c71172b04af31b
D0,A_high_2,selective,D0_r07,7,m020_contiguous_substring,6fb076d21f3b26febc2e6a328628b3ea581ce0709de4263bbe675d61bdb74942,contiguous_substring,intermediate,4,0.0010444840145538816,0.3176800486041587,1,8.199926215277777,0a080937a091825c59c521dc50525f0d148b73e88c7c5ba602182c75cd14294a
D0,A_high_2,selective,D0_r07,7,m021_contiguous_substring,3ac98b3bd2edbbfc3b4339ca0066047ccba8e1cfa0ce798acbd27bab5b87d8af,contiguous_substring,intermediate,4,0.0006944566879138155,0.3176800486041587,1,8.189891493055555,e4ff50d6c446d9efbd889e272bc04f1aa68c699e663d99aa1ad29d18b45fe1e2
D0,A_high_2,selective,D0_r07,7,m022_contiguous_substring,fc015e86e4e7f2c734c05fb1135856a6186a7b6e6f3079acc6d6c6e4aa7442e4,contiguous_substring,intermediate,4,0.000738441777357103,0.3176800486041587,1,8.197973090277777,cb0cba8607f7011f62357b7260c8d3961981653dea62075841f017447f39121f
D0,A_high_2,selective,D0_r07,7,m023_contiguous_substring,6d8bb74bcdeefe62988bcebfe3cdb7110ea14648c3393721f4a4095032ddf61b,contiguous_substring,intermediate,4,0.0007005329343327075,0.3176800486041587,1,8.176180555555554,f4d67168032678199328a4872b0921272a75a11aaa0d5d2ba2e424701f3fb01b
D0,A_high_2,selective,D0_r07,7,m024_contiguous_substring,94ab69bff5420fbcf4c18d7a247ef0e4b9577d1295271abf78a62f51c3b59a0f,contiguous_substring,intermediate,16,0.004455790159234162,0.3176800486041587,1,8.257365451388889,69aa8f62c91bf5a7b9e2f9cf920d289c28b074afcff496dae7a3c2f3eaeebc69
D0,A_high_2,selective,D0_r07,7,m025_contiguous_substring,ae330f3e6dd51f734f790820a896827f916e8d775c69ea1f205c55aa81507fe0,contiguous_substring,intermediate,16,0.005256024680077166,0.3176800486041587,1,8.206671006944445,c6eb29cc8fa66b831c97a886af868e0951a8b2bcbfc38dfedb4966af71453eb9
D0,A_high_2,selective,D0_r07,7,m026_contiguous_substring,5d3c5ea59a3a81c2ffdcfc7029fe0ab078b39be0217f1ee2611101845014273b,contiguous_substring,intermediate,16,0.00447801903474584,0.3176800486041587,1,8.257261284722224,e1667b21d02bf56c1193aa63f6f64e55a98a5c002a384c84672d4698ac30281f
D0,A_high_2,selective,D0_r07,7,m027_contiguous_substring,6edfbfdb62fbf79744d4ecfb6fe43de95b2133d87a10f24061ecc84297b1c267,contiguous_substring,intermediate,16,0.004094359387854874,0.3176800486041587,1,8.181566840277778,8d36230065fb31f39fddcbe7919a45504ac16069d6846721893ef2b421f743c7
D0,A_high_2,selective,D0_r07,7,m028_contiguous_substring,6f9a04216ce84ed3a2ef19a2010723c498d866f2bb5d6eda67ea1bd16782bfd8,contiguous_substring,intermediate,64,0.020000399763630567,0.3176800486041587,1,8.499700520833333,c19f0b48719d83de1ccf043360468a3aef9b83e9181ef3e975a41f55ac800f17
D0,A_high_2,selective,D0_r07,7,m029_contiguous_substring,8d4ddfbfac0226f6a695d6b22ee21fbf533251852e95baca71b09f7710bfb22c,contiguous_substring,intermediate,64,0.02053237518519803,0.3176800486041587,1,8.462591145833334,83e42787d69729901e558ba5c7fa9c54fb60fad4bf1a91aa3f661f6f98e214fe
D0,A_high_2,selective,D0_r07,7,m030_contiguous_substring,6ff19e1927dcafbb441ab0b4a0a61b92d1295d402f3277307a3f5b9d7850b98a,contiguous_substring,intermediate,64,0.0195522793821388,0.3176800486041587,1,8.368415798611114,cc47c9b8511a0bf24a269cde47fccd696b6dee9a4c439ec532778b7394c8cef9
D0,A_high_2,selective,D0_r07,7,m031_contiguous_substring,c824c782df91faee7515c9d811fab43ed5426465074d2e812a5277507d28ae96,contiguous_substring,intermediate,256,0.08930867648764847,0.3176800486041587,1,9.427717013888888,8d4e2871fa97c17021154115462a8aec2e8e72572e26c21d38aa5c8b598e6174
D0,A_high_2,selective,D0_r07,7,m032_contiguous_substring,ef835eb9c371f618c6958654a7d25a1df1d12c09a53ecf66f9209fb882a8542d,contiguous_substring,intermediate,256,0.08878901419805399,0.3176800486041587,1,9.358046875000001,ca5b4c7db47daf3379e1eaa25ed70ec5928b78e961ad9a21a584d80bff04c9e3
D0,A_high_2,selective,D0_r07,7,m033_identity,2f88e9ce00d238e7e011a7b140b413dcad818f1da41a721f914f1af604d0e217,identity,identity,1024,0.3176800486041587,0.3176800486041587,1,12.680134548611113,d8d6dc3a32b5f5250c9d554dd400f8b16eb458191eaac60b731c88bb8f67707f
