condition,inherit_prob,replicate,baseline_replicate,baseline_run_seed,information_observation_seed,permutation_root_seed,permutation_stream_index,n_information_permutations,state_path,rng_state_path,state_hash,trajectory_hash,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
control,0.3,5,control_p0.3_r05,3656938491,3860597711,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_05.npz,results/phase4_core/states/control/p0.3/rep_05.rng.json,8cd0d53acb3960618b4d1cd063d3723fb4e212a3e23d0baeebeeae43e7590d94,90ab815794a62b8d4cc28df6d3440510649fba22a8d31f93782cec260eb7c1f6,26.7296875,0.07141099323712591,0.075369679297169,0.28871415859322325,0.2846981984400967,0.0026194933965004528,0.004015960153126552
control,0.3,6,control_p0.3_r06,2079662945,68959564,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_06.npz,results/phase4_core/states/control/p0.3/rep_06.rng.json,9c86c84b531a5c882d8f372973f9dfd7dffba5d7d2ea3bc109b679ed372f12d3,9c6d2cf2d692cfa18d06db4e7f2488c2e39189643f570ea06ed0d7113155e90c,27.46640625,0.06587561476450099,0.07604468337776141,0.2852828869292402,0.28472655518201273,0.002574502194482015,0.0005563317472274676
control,0.3,7,control_p0.3_r07,3013115207,1430352354,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_07.npz,results/phase4_core/states/control/p0.3/rep_07.rng.json,9bb79a8931ba76d195c71b9b69a2744ae3a7fb32687c60747c0f6d43d570514c,13877b1ed87f5c99b4aeec3237a6b03a4e6ac8e109fb86b8ffff02c3dde64f98,27.31953125,0.06585315042311592,0.07231247040096572,0.2864952593324647,0.2850692698533457,0.0029631794352501435,0.0014259894791190386
control,0.3,8,control_p0.3_r08,1775343999,3979116977,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_08.npz,results/phase4_core/states/control/p0.3/rep_08.rng.json,2884e75487faa9392031f38917c4bbc237a31238e43b25618483b6b4460e4257,c55871a1be208b70f44f58a2ac22011747929cd8264ad182041e91b24ff21c43,26.97421875,0.06394457835264675,0.07161219355222238,0.2836996219967192,0.28511467642354815,0.0028213011095107677,-0.0014150544268289322
control,0.3,9,control_p0.3_r09,2690895711,4293393072,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_09.npz,results/phase4_core/states/control/p0.3/rep_09.rng.json,910997d6d9bc61d7bdaa8ce43e89021f543bd508755b1f119feb77e5e42db60a,62a0b965bd0584c946ff8b406e6c40252a3e1d3b66f17f12a60d8fa4175df080,27.0296875,0.06553475304566611,0.077788478482252,0.28223540743904263,0.28451204348331016,0.002569469030844945,-0.0022766360442675326
control,0.3,10,control_p0.3_r10,7138034,3522186219,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_10.npz,results/phase4_core/states/control/p0.3/rep_10.rng.json,4e50a5c2072e0471febeabf67fdef34192aeb5507d7a4e9e9e07f172e02846ef,134a3f5bd70d52dc2f61569d1be4cb235e44d57235dc56e1268ba04c2d0caf1d,26.80625,0.06538667016336366,0.07102028430418209,0.2865560999489062,0.2852947759476809,0.002669295344819316,0.0012613240012253057
control,0.3,11,control_p0.3_r11,3565764375,1043517,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_11.npz,results/phase4_core/states/control/p0.3/rep_11.rng.json,07fc6f54c6786515d0df74141a434e2a5f3c9f179ee762db484bc05e8ba43813,61bb8c9a7b761cf180304ee587c158089be5eed16a2868fb4c5cf0df2d620ddd,27.10234375,0.06740357481035161,0.0754812973442148,0.285342289109577,0.2853479064773583,0.0028462326640973433,-5.617367781318716e-06
control,0.3,12,control_p0.3_r12,3442964586,1071000546,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_12.npz,results/phase4_core/states/control/p0.3/rep_12.rng.json,8c4ae86251b0b3e50806d022313f0cbdec9fa144aeffced5a924759e89b2cc7b,1b097091e351d78c775ad849155a1f1fe53131c7005cb7efa0eb2d3cf3b96364,26.98203125,0.06857130408981069,0.07291561851042441,0.28347319795073067,0.2850195626239356,0.002827054489989033,-0.001546364673204903
control,0.3,13,control_p0.3_r13,1296378262,3641378666,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_13.npz,results/phase4_core/states/control/p0.3/rep_13.rng.json,79cd2c17b47737777626728a3e2b9e9a8c4d1e2522694ff293a02b609e7ba67a,6241c8563ba430901d4889628f428f4ce07e32e79ed6813ae6e940bd6a795294,27.83984375,0.06303084840793985,0.07061678303220603,0.28644330622090386,0.28543334971135614,0.0026621314699510745,0.0010099565095477159
control,0.3,14,control_p0.3_r14,2769109518,1750061223,2026073104,0,200,results/phase4_core/states/control/p0.3/rep_14.npz,results/phase4_core/states/control/p0.3/rep_14.rng.json,5cd0aa54878dd6d1421d942cc3d575bacae64ba86aef78e9e7fcc839f570d79b,878fc90674e110aa7f75bb3f2e8e6f3a5d16677defc4692b7409aa13728d4303,26.5234375,0.06558476759505291,0.07479892450829123,0.2819012926346946,0.285527239450389,0.0026636698703932276,-0.003625946815694392
