inherit_prob,bootstrap_index,condition,reach_fraction,median_semantic_information_among_reached,median_censored_lower_bound,mean_value_of_information,n_reached,n_censored
0.1,170,control,1.0,0.0,,0.0,20,0
0.1,170,selective,1.0,0.5023178776119777,,5.727554796006949,20,0
0.1,171,control,1.0,0.0,,0.0,20,0
0.1,171,selective,1.0,0.5029150456342,,5.725876736111114,20,0
0.1,172,control,1.0,0.0,,0.0,20,0
0.1,172,selective,1.0,0.5036152853168294,,5.729958767361111,20,0
0.1,173,control,1.0,0.0,,0.0,20,0
0.1,173,selective,1.0,0.5040474662742266,,5.719001193576394,20,0
0.1,174,control,1.0,0.0,,0.0,20,0
0.1,174,selective,1.0,0.5036152853168294,,5.715187717013889,20,0
0.1,175,control,1.0,0.0,,0.0,20,0
0.1,175,selective,1.0,0.505955762879911,,5.72344455295139,20,0
0.1,176,control,1.0,0.0,,0.0,20,0
0.1,176,selective,1.0,0.5043373363640982,,5.703387044270833,20,0
0.1,177,control,1.0,0.0,,0.0,20,0
0.1,177,selective,1.0,0.5029150456342,,5.715137261284723,20,0
0.1,178,control,1.0,0.0,,0.0,20,0
0.1,178,selective,1.0,0.5021310791825133,,5.697650282118058,20,0
0.1,179,control,1.0,0.0,,0.0,20,0
0.1,179,selective,1.0,0.5036152853168294,,5.712291124131946,20,0
0.1,180,control,1.0,0.0,,0.0,20,0
0.1,180,selective,1.0,0.5052880551339392,,5.725890842013892,20,0
0.1,181,control,1.0,0.0,,0.0,20,0
0.1,181,selective,1.0,0.5036152853168294,,5.722407769097222,20,0
0.1,182,control,1.0,0.0,,0.0,20,0
0.1,182,selective,1.0,0.5023178776119777,,5.715764973958338,20,0
0.1,183,control,1.0,0.0,,0.0,20,0
0.1,183,selective,1.0,0.5058065929463832,,5.725916883680557,20,0
0.1,184,control,1.0,0.0,,0.0,20,0
0.1,184,selective,1.0,0.503905155406701,,5.728113606770835,20,0
0.1,185,control,1.0,0.0,,0.0,20,0
0.1,185,selective,1.0,0.5058065929463832,,5.729519314236114,20,0
0.1,186,control,1.0,0.0,,0.0,20,0
0.1,186,selective,1.0,0.5027282472047356,,5.736584743923614,20,0
0.1,187,control,1.0,8.008566259537292e-17,,0.0,20,0
0.1,187,selective,1.0,0.5021310791825133,,5.70455729166667,20,0
0.1,188,control,1.0,0.0,,0.0,20,0
0.1,188,selective,1.0,0.5052880551339392,,5.713133680555558,20,0
0.1,189,control,1.0,0.0,,0.0,20,0
0.1,189,selective,1.0,0.5015560525297204,,5.70921549479167,20,0
0.1,190,control,1.0,0.0,,0.0,20,0
0.1,190,selective,1.0,0.503905155406701,,5.7106407335069465,20,0
0.1,191,control,1.0,0.0,,0.0,20,0
0.1,191,selective,1.0,0.5047695173214952,,5.710562065972223,20,0
0.1,192,control,1.0,0.0,,0.0,20,0
0.1,192,selective,1.0,0.5023178776119777,,5.713425564236113,20,0
0.1,193,control,1.0,0.0,,0.0,20,0
0.1,193,selective,1.0,0.5048558741765421,,5.711796332465281,20,0
0.1,194,control,1.0,0.0,,0.0,20,0
0.1,194,selective,1.0,0.5043373363640982,,5.733076714409723,20,0
0.1,195,control,1.0,0.0,,0.0,20,0
0.1,195,selective,1.0,0.5029150456342,,5.696297743055558,20,0
0.1,196,control,1.0,0.0,,0.0,20,0
0.1,196,selective,1.0,0.503905155406701,,5.726537543402781,20,0
0.1,197,control,1.0,0.0,,0.0,20,0
0.1,197,selective,1.0,0.503325415226958,,5.743397352430558,20,0
0.1,198,control,1.0,0.0,,0.0,20,0
0.1,198,selective,1.0,0.5047695173214952,,5.71389431423611,20,0
0.1,199,control,1.0,0.0,,0.0,20,0
0.1,199,selective,1.0,0.5027282472047356,,5.6908322482638924,20,0
0.1,200,control,1.0,0.0,,0.0,20,0
0.1,200,selective,1.0,0.5040474662742266,,5.721338975694443,20,0
0.1,201,control,1.0,0.0,,0.0,20,0
0.1,201,selective,1.0,0.5043373363640982,,5.731465928819448,20,0
0.1,202,control,1.0,0.0,,0.0,20,0
0.1,202,selective,1.0,0.5052880551339392,,5.735105251736114,20,0
0.1,203,control,1.0,0.0,,0.0,20,0
0.1,203,selective,1.0,0.5083485204079075,,5.738772243923613,20,0
0.1,204,control,1.0,0.0,,0.0,20,0
0.1,204,selective,1.0,0.5040474662742266,,5.733996310763894,20,0
0.1,205,control,1.0,0.0,,0.0,20,0
0.1,205,selective,1.0,0.5036152853168294,,5.725096571180558,20,0
0.1,206,control,1.0,0.0,,0.0,20,0
0.1,206,selective,1.0,0.5036152853168294,,5.714996744791669,20,0
0.1,207,control,1.0,0.0,,0.0,20,0
0.1,207,selective,1.0,0.5036152853168294,,5.71965006510417,20,0
0.1,208,control,1.0,0.0,,0.0,20,0
0.1,208,selective,1.0,0.5023178776119777,,5.713963758680558,20,0
0.1,209,control,1.0,0.0,,0.0,20,0
0.1,209,selective,1.0,0.5020303642855812,,5.726263020833337,20,0
0.1,210,control,1.0,0.0,,0.0,20,0
0.1,210,selective,1.0,0.5015382413926501,,5.7279926215277825,20,0
0.1,211,control,1.0,0.0,,0.0,20,0
0.1,211,selective,1.0,0.5032049157240714,,5.720095486111113,20,0
0.1,212,control,1.0,0.0,,0.0,20,0
0.1,212,selective,1.0,0.502504676041442,,5.698088650173615,20,0
0.1,213,control,1.0,0.0,,0.0,20,0
0.1,213,selective,1.0,0.5043373363640982,,5.717863498263889,20,0
0.1,214,control,1.0,0.0,,0.0,20,0
0.1,214,selective,1.0,0.5021310791825133,,5.71495768229167,20,0
0.1,215,control,1.0,0.0,,0.0,20,0
0.1,215,selective,1.0,0.5052880551339392,,5.699021267361114,20,0
0.1,216,control,1.0,0.0,,0.0,20,0
0.1,216,selective,1.0,0.5052880551339392,,5.734933268229167,20,0
0.1,217,control,1.0,0.0,,0.0,20,0
0.1,217,selective,1.0,0.5047695173214952,,5.727913953993057,20,0
0.1,218,control,1.0,0.0,,0.0,20,0
0.1,218,selective,1.0,0.5029150456342,,5.7553287760416705,20,0
0.1,219,control,1.0,0.0,,0.0,20,0
0.1,219,selective,1.0,0.5029150456342,,5.721724717881946,20,0
0.1,220,control,1.0,0.0,,0.0,20,0
0.1,220,selective,1.0,0.5018435658561169,,5.706812608506949,20,0
0.1,221,control,1.0,0.0,,0.0,20,0
0.1,221,selective,1.0,0.5043373363640982,,5.704854600694447,20,0
0.1,222,control,1.0,0.0,,0.0,20,0
0.1,222,selective,1.0,0.5036152853168294,,5.713511284722222,20,0
0.1,223,control,1.0,0.0,,0.0,20,0
0.1,223,selective,1.0,0.5036152853168294,,5.70598361545139,20,0
0.1,224,control,1.0,0.0,,0.0,20,0
0.1,224,selective,1.0,0.505955762879911,,5.71810275607639,20,0
0.1,225,control,1.0,0.0,,0.0,20,0
0.1,225,selective,1.0,0.5058811779131471,,5.707673068576391,20,0
0.1,226,control,1.0,0.0,,0.0,20,0
0.1,226,selective,1.0,0.503905155406701,,5.7181331380208364,20,0
0.1,227,control,1.0,0.0,,0.0,20,0
0.1,227,selective,1.0,0.503325415226958,,5.72050726996528,20,0
0.1,228,control,1.0,0.0,,0.0,20,0
0.1,228,selective,1.0,0.5023178776119777,,5.7051057942708345,20,0
