condition_selective,viability_def_selective,inherit_prob,analysis_set_selective,methods_selective,syntactic_info_mean_selective,semantic_info_mean_selective,semantic_efficiency_mean_selective,value_of_information_mean_selective,actual_viability_mean_selective,frontier_max_viability_selective,frontier_reaches_target_selective,n_intervention_points_selective,condition_control,viability_def_control,analysis_set_control,methods_control,syntactic_info_mean_control,semantic_info_mean_control,semantic_efficiency_mean_control,value_of_information_mean_control,actual_viability_mean_control,frontier_max_viability_control,frontier_reaches_target_control,n_intervention_points_control,viability_def,syntactic_semantic_gap_selective,syntactic_semantic_gap_control,semantic_info_selective_minus_control,value_of_information_selective_minus_control
selective,negative_fitness_distribution_entropy,0.1,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2589808552252173,0.0,0.0,0.0865626541343385,-4.869892162261183,-4.831483520133026,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0637760476727162,0.0,0.0,0.067838002880963,-4.884020265356438,-4.830448113109175,True,504,negative_fitness_distribution_entropy,0.2589808552252173,0.0637760476727162,0.0,0.018724651253375496
selective,negative_fitness_distribution_entropy,0.2,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2596567180408941,0.0,0.0,0.0898099060082797,-4.863329861991737,-4.830355075559848,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0646355293908873,0.0,0.0,0.0657997269995336,-4.891943145062231,-4.818866974450066,True,504,negative_fitness_distribution_entropy,0.2596567180408941,0.0646355293908873,0.0,0.024010179008746108
selective,negative_fitness_distribution_entropy,0.3,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2625029673385846,0.0,0.0,0.1100913504532759,-4.852610599826947,-4.819085989189552,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.066599753512714,0.0,0.0,0.0692890467563449,-4.8909564832048895,-4.805904370468218,True,504,negative_fitness_distribution_entropy,0.2625029673385846,0.066599753512714,0.0,0.040802303696931
selective,negative_fitness_distribution_entropy,0.4,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2622608559160977,0.0,0.0,0.0882869689534757,-4.8746430916483146,-4.82019481178842,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0696275126114171,0.0,0.0,0.0640686030262953,-4.893882232028157,-4.816733632431671,True,504,negative_fitness_distribution_entropy,0.2622608559160977,0.0696275126114171,0.0,0.024218365927180394
selective,negative_fitness_distribution_entropy,0.5,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2680735421754097,0.0,0.0,0.0902225088603332,-4.865311153757728,-4.8182993220033055,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0752247133240534,0.0,0.0,0.0637822172496109,-4.895978089190585,-4.820083588507583,True,504,negative_fitness_distribution_entropy,0.2680735421754097,0.0752247133240534,0.0,0.026440291610722297
selective,negative_fitness_distribution_entropy,0.6,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2735879783019941,0.0,0.0,0.0674290452387351,-4.895082821728951,-4.819670924826421,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0819363776511758,0.0,0.0,0.0812474945689922,-4.888036872897499,-4.8239404731297775,True,504,negative_fitness_distribution_entropy,0.2735879783019941,0.0819363776511758,0.0,-0.01381844933025711
selective,negative_fitness_distribution_entropy,0.7,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2832159954811939,0.0,0.0,0.0776854971641043,-4.894117095056026,-4.819383000604455,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.0985458822102516,0.0,0.0,0.0557311950762011,-4.8907742942778745,-4.809237720061584,True,504,negative_fitness_distribution_entropy,0.2832159954811939,0.0985458822102516,0.0,0.021954302087903207
selective,negative_fitness_distribution_entropy,0.8,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3087444659496084,0.0,0.0,0.0326060226240505,-4.9181256511248055,-4.820122801739764,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.1289146975888127,0.0,0.0,0.0749815654582226,-4.875256113240662,-4.800429588671301,True,504,negative_fitness_distribution_entropy,0.3087444659496084,0.1289146975888127,0.0,-0.0423755428341721
selective,negative_fitness_distribution_entropy,0.9,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.3815608210008648,0.0,0.0,-0.0185337372178429,-4.993911739836514,-4.8292641854632254,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.2137670285972008,0.0,0.0,0.0539467000228972,-4.892943488553631,-4.831217048294822,True,504,negative_fitness_distribution_entropy,0.3815608210008648,0.2137670285972008,0.0,-0.0724804372407401
selective,negative_fitness_distribution_entropy,1.0,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.5230905959845319,0.000723896728054,0.0013838840415235,0.1001881072243158,-4.862538693099801,-4.826817952733624,True,504,control,negative_fitness_distribution_entropy,primary_no_kmeans,balanced_random_group|affinity_rank_group|prefix_group,0.4819661794527667,0.0,0.0,0.0920764360414976,-4.892469675221861,-4.812318503092558,True,504,negative_fitness_distribution_entropy,0.5223666992564779,0.4819661794527667,0.000723896728054,0.008111671182818206
