inherit_prob,rep,delta_fitness,delta_mi
0.9,19,0.040625000000005684,0.11682109528932216
1.0,0,5.389843749999997,0.27395095419057097
1.0,1,4.985156249999996,0.19853415582964618
1.0,2,5.359375,0.2535454710229681
1.0,3,4.942968749999999,0.2524007614703325
1.0,4,5.23046875,0.25943664104933245
1.0,5,3.5257812500000014,0.2898475215508005
1.0,6,6.4609375,0.27359211697938635
1.0,7,6.073437499999997,0.3025841049151179
1.0,8,3.9976562499999986,0.24874430697412003
1.0,9,5.1171875,0.24645933042259882
1.0,10,5.15625,0.24268944204967358
1.0,11,7.298437499999999,0.27391222089904677
1.0,12,2.8046875,0.30045843607094014
1.0,13,6.243750000000006,0.2616028391742373
1.0,14,5.207812499999996,0.3218641118233129
1.0,15,4.9140625,0.28510204894866886
1.0,16,3.8367187499999957,0.24678390014359208
1.0,17,5.181250000000006,0.2590281333185075
1.0,18,6.796875,0.22643585032716512
1.0,19,5.994531250000001,0.2300826413817072
