control_family,seed_block,n_realizations,mean_value_of_information,mean_actual_viability,mean_constant_viability,n_target_reached,all_target_reached,semantic_information_if_all_reached,mean_semantic_lower_bound_among_censored,all_identity_information_recovered,all_identity_viability_recovered
alternative_a_native,6,1,11.769921874999998,40.09572482638889,28.32580295138889,1,True,0.2745905533276617,,True,True
alternative_a_native,7,1,11.118424479166663,39.486241319444446,28.367816840277783,1,True,0.3044613632378201,,True,True
alternative_a_native,8,1,10.87537977430555,39.20544704861111,28.330067274305563,1,True,0.2838508055699852,,True,True
alternative_a_native,9,1,11.030219184027786,39.30224609375001,28.27202690972222,1,True,0.2618633610513325,,True,True
alternative_a_native,10,1,11.517111545138881,39.79994574652777,28.282834201388887,1,True,0.279628845175686,,True,True
alternative_a_native,11,1,9.900336371527779,38.23016493055556,28.32982855902778,1,True,0.2362962154135577,,True,True
alternative_a_native,12,1,11.178602430555557,39.39678819444444,28.218185763888883,1,True,0.2824316229112798,,True,True
alternative_a_native,13,1,12.77042100694445,40.962011718750006,28.191590711805556,1,True,0.2847859259973251,,True,True
alternative_a_native,14,1,10.090299479166667,38.333919270833334,28.243619791666667,1,True,0.2824988478295285,,True,True
alternative_a_native,15,1,13.493749999999991,41.71079644097222,28.217046440972226,1,True,0.303914919376519,,True,True
alternative_a_native,16,1,10.889485677083329,39.19708116319444,28.30759548611111,1,True,0.2409903574022731,,True,True
alternative_a_native,17,1,12.59382595486111,40.88166232638889,28.28783637152778,1,True,0.2859025768874824,,True,True
alternative_a_native,18,1,12.186545138888892,40.512554253472224,28.326009114583332,1,True,0.2937748909405884,,True,True
alternative_a_native,19,1,11.883810763888896,40.19001736111112,28.30620659722222,1,True,0.3397371117572172,,True,True
alternative_b_cross_a,0,1,5.019108072916659,33.25893012152777,28.23982204861111,1,True,0.2832464827101359,,True,True
alternative_b_cross_a,1,1,9.994574652777771,38.179926215277774,28.185351562500003,1,True,0.2676406555525858,,True,True
alternative_b_cross_a,2,1,9.5293185763889,37.82721354166667,28.297894965277774,1,True,0.3082000250919459,,True,True
alternative_b_cross_a,3,1,10.455219184027776,38.67917751736111,28.223958333333336,1,True,0.3101318081150936,,True,True
alternative_b_cross_a,4,1,8.669856770833334,36.91789279513889,28.248036024305556,1,True,0.2669909717139168,,True,True
alternative_b_cross_a,5,1,9.858799913194446,38.04939236111111,28.190592447916664,1,True,0.2956860755917644,,True,True
alternative_b_cross_a,6,1,10.440169270833326,38.76597222222222,28.32580295138889,1,True,0.289658801380227,,True,True
alternative_b_cross_a,7,1,7.832812499999996,36.20062934027778,28.367816840277783,1,True,0.2573019415099157,,True,True
alternative_b_cross_a,8,1,11.757508680555553,40.087575954861116,28.330067274305563,1,True,0.3103754617439838,,True,True
alternative_b_cross_a,9,1,5.896777343750003,34.168804253472224,28.27202690972222,1,True,0.264611770228829,,True,True
alternative_b_cross_a,10,1,10.104741753472219,38.387575954861106,28.282834201388887,1,True,0.2056349900680972,,True,True
alternative_b_cross_a,11,1,10.176106770833336,38.50593532986112,28.32982855902778,1,True,0.2889227907796271,,True,True
alternative_b_cross_a,12,1,8.06680772569446,36.28499348958334,28.218185763888883,1,True,0.2758800700599455,,True,True
alternative_b_cross_a,13,1,10.13156467013889,38.323155381944446,28.191590711805556,1,True,0.3131883325113928,,True,True
alternative_b_cross_a,14,1,9.441004774305561,37.68462456597223,28.243619791666667,1,True,0.269742204796388,,True,True
alternative_b_cross_a,15,1,8.628287760416661,36.84533420138889,28.217046440972226,1,True,0.2728991658540625,,True,True
alternative_b_cross_a,16,1,7.926019965277781,36.23361545138889,28.30759548611111,1,True,0.2889877608364828,,True,True
alternative_b_cross_a,17,1,6.1575520833333215,34.4453884548611,28.28783637152778,1,True,0.2621640872412706,,True,True
alternative_b_cross_a,18,1,7.043207465277771,35.3692165798611,28.326009114583332,1,True,0.2913119184712037,,True,True
alternative_b_cross_a,19,1,6.791655815972227,35.09786241319445,28.30620659722222,1,True,0.325425887118407,,True,True
alternative_b_native,0,1,9.572363281249999,37.38285590277778,27.81049262152778,1,True,0.2874616434683317,,True,True
alternative_b_native,1,1,10.48223741319444,38.347233072916666,27.864995659722226,1,True,0.2676406555525858,,True,True
alternative_b_native,2,1,12.897439236111115,40.77284071180556,27.875401475694442,1,True,0.3082000250919459,,True,True
alternative_b_native,3,1,13.958105468750006,41.82260199652778,27.864496527777774,1,True,0.3101318081150936,,True,True
alternative_b_native,4,1,13.857042100694443,41.69338107638889,27.836338975694446,1,True,0.2669909717139168,,True,True
alternative_b_native,5,1,11.590527343750004,39.38266059027778,27.792133246527776,1,True,0.2956860755917644,,True,True
alternative_b_native,6,1,12.26420355902777,40.10135633680555,27.83715277777778,1,True,0.289658801380227,,True,True
alternative_b_native,7,1,11.00119357638889,38.888671875,27.88747829861111,1,True,0.2573019415099157,,True,True
alternative_b_native,8,1,12.679568142361106,40.65933159722222,27.979763454861114,1,True,0.3103754617439838,,True,True
alternative_b_native,9,1,10.395638020833328,38.26592881944444,27.870290798611112,1,True,0.264611770228829,,True,True
alternative_b_native,10,1,11.04075520833333,38.89235026041666,27.851595052083333,1,True,0.2056349900680972,,True,True
alternative_b_native,11,1,12.493988715277776,40.429448784722226,27.93546006944445,1,True,0.2889227907796271,,True,True
alternative_b_native,12,1,9.538856336805551,37.40083550347222,27.86197916666667,1,True,0.2758800700599455,,True,True
