source_file,condition,inherit_prob,replicate,baseline_replicate,final_mean_fitness,total_information,positional_information,conditional_information,permutation_mean,permutation_std,corrected_conditional_information
results/phase4_core/baseline_information.csv,control,0.8,4,control_p0.8_r04,26.74765625,0.1289910854109714,0.310580786345044,0.2609257762154204,0.2636133804011143,0.0026854500175814,-0.0026876041856939
results/phase4_core/baseline_information.csv,control,0.8,5,control_p0.8_r05,27.26640625,0.1171726924890172,0.2835774756462718,0.2615703809951627,0.2657193230020712,0.0029348922826548,-0.0041489420069085
results/phase4_core/baseline_information.csv,control,0.8,6,control_p0.8_r06,27.88828125,0.1201369033632374,0.2786660590443854,0.2688897502604045,0.2650209984188927,0.0025724494933792,0.0038687518415118
results/phase4_core/baseline_information.csv,control,0.8,7,control_p0.8_r07,27.053125,0.1277131666882123,0.3043325163650597,0.263861824365836,0.2642423931142086,0.0025175611379482,-0.0003805687483725
results/phase4_core/baseline_information.csv,control,0.8,8,control_p0.8_r08,26.7125,0.140296641979213,0.3461071716016296,0.2583428400713422,0.2612251477933413,0.0025658258790891,-0.0028823077219991
results/phase4_core/baseline_information.csv,control,0.8,9,control_p0.8_r09,26.7296875,0.1290524504467353,0.3021986611886518,0.2636611019654962,0.2626476671502972,0.0028051822156175,0.0010134348151989
results/phase4_core/baseline_information.csv,control,0.8,10,control_p0.8_r10,27.40234375,0.1234302540645734,0.2762872539427368,0.2677440104869548,0.2662250912529669,0.0029634604039144,0.0015189192339878
results/phase4_core/baseline_information.csv,control,0.8,11,control_p0.8_r11,27.6328125,0.1315389813355219,0.3267934426889508,0.2580564591125532,0.2631684863593628,0.0025985759600567,-0.0051120272468095
results/phase4_core/baseline_information.csv,control,0.8,12,control_p0.8_r12,26.53984375,0.1404664056044739,0.3436134177145813,0.2593599283168439,0.2618050495554898,0.002707836818842,-0.0024451212386458
results/phase4_core/baseline_information.csv,control,0.8,13,control_p0.8_r13,26.77890625,0.1180193265443161,0.2680815920010628,0.265996242059533,0.2660910720573388,0.0025933307658976,-9.482999780580093e-05
results/phase4_core/baseline_information.csv,control,0.8,14,control_p0.8_r14,26.19765625,0.1213374979206974,0.2709254200048977,0.2699795746550065,0.2665136563079967,0.002590481692519,0.0034659183470098
results/phase4_core/baseline_information.csv,control,0.8,15,control_p0.8_r15,26.2625,0.1221447149956213,0.2770745265288402,0.2658999963340499,0.2652890951827008,0.0026998527109284,0.0006109011513491
results/phase4_core/baseline_information.csv,control,0.8,16,control_p0.8_r16,26.80625,0.134838286000463,0.3159259537094107,0.2630132236420665,0.2621524388030598,0.0026814266626955,0.0008607848390066
results/phase4_core/baseline_information.csv,control,0.8,17,control_p0.8_r17,27.47265625,0.1392945537173676,0.3531040936689549,0.2629530631033731,0.2633550598529889,0.0025758152488183,-0.0004019967496158
results/phase4_core/baseline_information.csv,control,0.8,18,control_p0.8_r18,26.59140625,0.1391457680928168,0.3518834391167517,0.2625340576730781,0.2598976202664528,0.003023581843592,0.0026364374066252
results/phase4_core/baseline_information.csv,control,0.8,19,control_p0.8_r19,26.57890625,0.1271749046513682,0.2907023796265308,0.266625251499527,0.2653398474974163,0.0027315974362679,0.0012854040021106
results/phase4_core/baseline_information.csv,control,0.9,0,control_p0.9_r00,27.05078125,0.1965270398397667,0.580744433880525,0.2283342740746582,0.2293824031190794,0.0025502787878835,-0.0010481290444211
results/phase4_core/baseline_information.csv,control,0.9,1,control_p0.9_r01,28.10546875,0.2275416130350388,0.7201611975457112,0.2191020472493925,0.2207503269865814,0.0023717808420947,-0.0016482797371889
results/phase4_core/baseline_information.csv,control,0.9,2,control_p0.9_r02,27.30078125,0.2525801193701115,0.7781505399269346,0.2166638509475373,0.2137283510430029,0.0021541714152303,0.0029354999045344
results/phase4_core/baseline_information.csv,control,0.9,3,control_p0.9_r03,27.078125,0.213662775046438,0.6289762939036285,0.2342930150738167,0.2352969589066373,0.0025774494136671,-0.0010039438328206
results/phase4_core/baseline_information.csv,control,0.9,4,control_p0.9_r04,28.22734375,0.205497940664447,0.6000194037256446,0.2372238918389077,0.2374349727672889,0.0025647182542214,-0.0002110809283811
results/phase4_core/baseline_information.csv,control,0.9,5,control_p0.9_r05,27.48671875,0.2022088740327585,0.6016127338911152,0.2313426440191976,0.2316081404545872,0.0024270603336848,-0.0002654964353895
results/phase4_core/baseline_information.csv,control,0.9,6,control_p0.9_r06,27.35546875,0.1957823032926453,0.5907040168710609,0.2290380317238608,0.2290989185705422,0.0024662536963383,-6.088684668140165e-05
results/phase4_core/baseline_information.csv,control,0.9,7,control_p0.9_r07,27.24140625,0.2225168955437594,0.6745295467717257,0.2247174601273758,0.226930263634509,0.0023791604172881,-0.0022128035071331
results/phase4_core/baseline_information.csv,control,0.9,8,control_p0.9_r08,27.01171875,0.2212594720145757,0.6471727996950629,0.2316057040463145,0.2290678144115505,0.0023546644056641,0.0025378896347639
results/phase4_core/baseline_information.csv,control,0.9,9,control_p0.9_r09,27.26953125,0.2119598230145608,0.6524528928674409,0.2216399677041499,0.2260195783842265,0.002276727431203,-0.0043796106800765
results/phase4_core/baseline_information.csv,control,0.9,10,control_p0.9_r10,27.33828125,0.1739841077545773,0.5076314615617109,0.2369641494643935,0.2391050750215052,0.0025128726975272,-0.0021409255571117
results/phase4_core/baseline_information.csv,control,0.9,11,control_p0.9_r11,27.01953125,0.2089940302869879,0.6181642465545099,0.2297779048952649,0.2300191221366173,0.0025532306809483,-0.0002412172413523
results/phase4_core/baseline_information.csv,control,0.9,12,control_p0.9_r12,26.98125,0.2365268023485912,0.7297425792475323,0.2214569447018489,0.2235404238994744,0.0024391649801268,-0.0020834791976254
results/phase4_core/baseline_information.csv,control,0.9,13,control_p0.9_r13,27.18125,0.1942839362502812,0.54999280331081,0.2379795936476819,0.2354168292009048,0.0025658881308343,0.0025627644467771
results/phase4_core/baseline_information.csv,control,0.9,14,control_p0.9_r14,27.228125,0.2243535431813018,0.6742501253186041,0.23315906957687,0.2291280713988784,0.0024213472134331,0.0040309981779916
results/phase4_core/baseline_information.csv,control,0.9,15,control_p0.9_r15,26.57265625,0.2344593252402087,0.7158558527993547,0.2259432527337609,0.2267255023723789,0.0024945914085482,-0.000782249638618
results/phase4_core/baseline_information.csv,control,0.9,16,control_p0.9_r16,27.2234375,0.2322863316459922,0.6928085493108808,0.2263439470023331,0.2236613609629871,0.0023377097574247,0.002682586039346
results/phase4_core/baseline_information.csv,control,0.9,17,control_p0.9_r17,27.196875,0.2195784158600637,0.6729380852672409,0.2205040767475635,0.2226056178820213,0.0022690190330962,-0.0021015411344578
results/phase4_core/baseline_information.csv,control,0.9,18,control_p0.9_r18,27.775,0.2060420692280345,0.6216256858785355,0.2280101433930178,0.2260349809994581,0.0024226645731998,0.0019751623935596
results/phase4_core/baseline_information.csv,control,0.9,19,control_p0.9_r19,27.2171875,0.2068951628083519,0.6227360868096443,0.2324325458563717,0.2285857493016794,0.0023393653301577,0.0038467965546923
results/phase4_core/baseline_information.csv,control,1.0,0,control_p1.0_r00,26.39765625,0.4643399263474178,1.8333474471992408,0.0301361327193572,0.0300213318461294,0.0008733925940098,0.0001148008732278
results/phase4_core/baseline_information.csv,control,1.0,1,control_p1.0_r01,26.6390625,0.4858568918309345,1.9052106409832488,0.0261768453880494,0.0260333633770016,0.0009124028380587,0.0001434820110478
results/phase4_core/baseline_information.csv,control,1.0,2,control_p1.0_r02,26.60546875,0.4678637248094714,1.787621308421523,0.0298755271938124,0.0305642595603522,0.0009259330787465,-0.0006887323665397
results/phase4_core/baseline_information.csv,control,1.0,3,control_p1.0_r03,26.5640625,0.4873989751223083,1.876254526856565,0.0330176901772231,0.0324891141145378,0.0009975541625658,0.0005285760626852
results/phase4_core/baseline_information.csv,control,1.0,4,control_p1.0_r04,26.640625,0.495768036690668,1.8784827214908997,0.0331053587558262,0.0316900495513998,0.0010461171949718,0.0014153092044263
results/phase4_core/baseline_information.csv,control,1.0,5,control_p1.0_r05,27.14296875,0.4709523559085289,1.85130941780585,0.0254109975001403,0.0252287936538526,0.0008318706582033,0.0001822038462877
results/phase4_core/baseline_information.csv,control,1.0,6,control_p1.0_r06,27.47265625,0.4769435814566271,1.88818784606354,0.0322902428236611,0.0327006312497278,0.0010320060744281,-0.0004103884260666
results/phase4_core/baseline_information.csv,control,1.0,7,control_p1.0_r07,27.26015625,0.4767289931528091,1.882044040441756,0.0276725091428872,0.0294135767105047,0.0010013680040103,-0.0017410675676174
results/phase4_core/baseline_information.csv,control,1.0,8,control_p1.0_r08,27.7359375,0.4517458581108986,1.8025485780728043,0.0242647678134572,0.0235090688728779,0.0008578144569909,0.0007556989405793
results/phase4_core/baseline_information.csv,control,1.0,9,control_p1.0_r09,27.58828125,0.4524907108739154,1.7756550824665531,0.0314717972299292,0.0321538596157915,0.0009530020557808,-0.0006820623858622
results/phase4_core/baseline_information.csv,control,1.0,10,control_p1.0_r10,27.02421875,0.491662320530197,1.9230319784728256,0.0310644848536249,0.0309170132875458,0.0009737138814308,0.0001474715660791
results/phase4_core/baseline_information.csv,control,1.0,11,control_p1.0_r11,27.315625,0.5058056002258897,1.981452558279692,0.0249188440353517,0.0260675687468751,0.0009241785112185,-0.0011487247115233
results/phase4_core/baseline_information.csv,control,1.0,12,control_p1.0_r12,26.78125,0.5009052062541135,1.941093900761102,0.0243986490742141,0.023787672220667,0.0008266958407407,0.0006109768535471
results/phase4_core/baseline_information.csv,control,1.0,13,control_p1.0_r13,26.9453125,0.4954299392506744,1.9520813153926535,0.0269455182086566,0.0269164639398349,0.0008628123755182,2.905426882169118e-05
results/phase4_core/baseline_information.csv,control,1.0,14,control_p1.0_r14,26.3421875,0.4732252628045411,1.8637535450226697,0.0362870140926725,0.0373502412391475,0.0011103005472417,-0.0010632271464749
results/phase4_core/baseline_information.csv,control,1.0,15,control_p1.0_r15,26.940625,0.465151896706091,1.8486427516285044,0.0306778693623149,0.0305604861966088,0.0010120289884599,0.000117383165706
results/phase4_core/baseline_information.csv,control,1.0,16,control_p1.0_r16,27.63046875,0.4822468394816059,1.9334940161778955,0.0303471010062566,0.032040078933512,0.0009869589804908,-0.0016929779272553
results/phase4_core/baseline_information.csv,control,1.0,17,control_p1.0_r17,27.1484375,0.4809406549188375,1.8972285066863792,0.0241127113558942,0.0245775690688963,0.0008977154788934,-0.000464857713002
