setting_index,stage,family,design_id,spec_json,regime
31,A,,A_high_1,"{""b_ratio"": 2.5, ""bias"": 3.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.7679481755549072, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.8417708762874557, ""sigma_ratio"": 0.7014757302395465, ""stride"": 1, ""temperature"": 1.2}",R2_viability_relevant
32,A,,A_high_0,"{""b_ratio"": 2.5, ""bias"": 3.0, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.001, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.9040017352340485, ""penalty"": 0.5, ""penalty_ratio"": 0.25, ""reward"": 2.0, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.272522667871638, ""sigma_ratio"": 1.0604355565596983, ""stride"": 1, ""temperature"": 1.2}",R3_strong_adaptation
33,B1,,B1_00,"{""b_ratio"": 1.68712277414399, ""bias"": 2.1013744880694607, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.003470896799972403, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.573910396947187, ""penalty"": 0.6550300913562529, ""penalty_ratio"": 0.44077409157262504, ""reward"": 1.4860902759034456, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.4675446987949989, ""sigma_ratio"": 0.37537588551958323, ""stride"": 5, ""temperature"": 1.2455373848744666}",R1_syntactic_only
34,B1,,B1_01,"{""b_ratio"": 0.6745424283567947, ""bias"": 0.8812646606938667, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.005270512983537687, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 6, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.5266834489032199, ""penalty"": 0.3816602313376986, ""penalty_ratio"": 0.13707136051167254, ""reward"": 2.784390772171534, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.23123623692935935, ""sigma_ratio"": 0.17699410828479933, ""stride"": 5, ""temperature"": 1.3064629052921897}",R0_null
35,B1,,B1_02,"{""b_ratio"": 1.8100040299287956, ""bias"": 2.663293082126484, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.002088820851955816, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.6769555038173478, ""penalty"": 0.36989230229557657, ""penalty_ratio"": 0.36222571409895454, ""reward"": 1.021165223500747, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.3179711001009793, ""sigma_ratio"": 0.8957080309793586, ""stride"": 1, ""temperature"": 1.47142936595078}",R2_viability_relevant
36,B1,,B1_03,"{""b_ratio"": 0.8049187981065451, ""bias"": 1.2317138322537402, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0098447672782584, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.9221890529423158, ""penalty"": 0.6854429286764818, ""penalty_ratio"": 0.2583020155205691, ""reward"": 2.6536491683778545, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.48270847968843666, ""sigma_ratio"": 0.31544756511804145, ""stride"": 1, ""temperature"": 1.5302336523276243}",R1_syntactic_only
37,B1,,B1_04,"{""b_ratio"": 0.3486786964402718, ""bias"": 0.5672750572311464, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0004548484908839134, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.4132892346669069, ""penalty"": 0.6261642305438038, ""penalty_ratio"": 0.32566790330503453, ""reward"": 1.9227078388419245, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.0698950358755535, ""sigma_ratio"": 0.6576167974982903, ""stride"": 5, ""temperature"": 1.6269277791346792}",R1_syntactic_only
38,B1,,B1_05,"{""b_ratio"": 0.1093673333098307, ""bias"": 0.17457948265469816, ""fitness_mode"": ""fraction"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.0005713501507091968, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.8472310620440695, ""penalty"": 0.1913976042282789, ""penalty_ratio"": 0.15585300338192654, ""reward"": 1.2280649077980763, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.5481866023906559, ""sigma_ratio"": 0.9698793786917923, ""stride"": 5, ""temperature"": 1.5962671610555375}",R1_syntactic_only
39,B1,,B1_06,"{""b_ratio"": 2.706729471714167, ""bias"": 3.287253126583312, ""fitness_mode"": ""count"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.00297897213265309, ""n_cells"": 160, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.7312723714383104, ""penalty"": 0.9038251479307287, ""penalty_ratio"": 0.38969257239241206, ""reward"": 2.3193286502278934, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.6148395087594845, ""sigma_ratio"": 1.3296614292038904, ""stride"": 5, ""temperature"": 1.2144742062092746}",R2_viability_relevant
40,B1,,B1_07,"{""b_ratio"": 2.306930317728408, ""bias"": 1.8699311320389178, ""fitness_mode"": ""fraction"", ""floor"": 0, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.007147328107475221, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 6, ""n_segments"": 8, ""n_seqs"": 8, ""p"": 0.86676069716852, ""penalty"": 0.8386191809522442, ""penalty_ratio"": 0.46542004827341854, ""reward"": 1.8018544410866972, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.8769553400173027, ""sigma_ratio"": 1.081898058445521, ""stride"": 1, ""temperature"": 0.810571137614683}",R1_syntactic_only
41,B1,,B1_08,"{""b_ratio"": 2.011760565007504, ""bias"": 2.0262584103478067, ""fitness_mode"": ""count"", ""floor"": 0.1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.00012449855502608, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.978690912128897, ""penalty"": 0.5141966035586177, ""penalty_ratio"": 0.21156666757981593, ""reward"": 2.430423513499031, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.5924935707633263, ""sigma_ratio"": 0.5882542890852427, ""stride"": 2, ""temperature"": 1.0072065461429545}",R3_strong_adaptation
42,B1,,B1_09,"{""b_ratio"": 0.9975633262175099, ""bias"": 1.7742398278454292, ""fitness_mode"": ""fraction"", ""floor"": 0, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.00038113150217634954, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 6, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.4954951743682328, ""penalty"": 0.6526196199803707, ""penalty_ratio"": 0.24935255333973494, ""reward"": 2.6172566161421944, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.09060828393989517, ""sigma_ratio"": 0.05094435357124501, ""stride"": 2, ""temperature"": 1.7785736315837375}",R0_null
43,B1,,B1_10,"{""b_ratio"": 1.3838359020959472, ""bias"": 2.374612666746951, ""fitness_mode"": ""count"", ""floor"": 0, ""jitter"": 0, ""motif_length"": 5, ""mutation_rate"": 0.00018784835755154288, ""n_cells"": 40, ""n_gens"": 150, ""n_metabolites"": 4, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.6083145239102223, ""penalty"": 0.18424253592526385, ""penalty_ratio"": 0.11790919052901745, ""reward"": 1.562579940534167, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 2.0184117009009976, ""sigma_ratio"": 1.1762552335508947, ""stride"": 1, ""temperature"": 1.7159640555288245}",R2_viability_relevant
44,B1,,B1_11,"{""b_ratio"": 1.2545560025053053, ""bias"": 1.3352635197018738, ""fitness_mode"": ""fraction"", ""floor"": 1, ""jitter"": 0, ""motif_length"": 4, ""mutation_rate"": 0.0017023502138196409, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 4, ""n_seqs"": 8, ""p"": 0.951375754858168, ""penalty"": 0.5625601787160569, ""penalty_ratio"": 0.41293595220611623, ""reward"": 1.362342454587863, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 1.3578198699363253, ""sigma_ratio"": 1.2757489761496097, ""stride"": 2, ""temperature"": 1.0643315380384761}",R1_syntactic_only
45,B1,,B1_12,"{""b_ratio"": 2.1721979900193595, ""bias"": 2.5007162995724794, ""fitness_mode"": ""count"", ""floor"": 0, ""jitter"": 0, ""motif_length"": 6, ""mutation_rate"": 0.00017213749574060178, ""n_cells"": 80, ""n_gens"": 150, ""n_metabolites"": 3, ""n_segments"": 2, ""n_seqs"": 8, ""p"": 0.4538353939376268, ""penalty"": 0.670327922092565, ""penalty_ratio"": 0.3032849551718537, ""reward"": 2.2102247759462044, ""segment_order"": ""native"", ""seq_len"": 60, ""sigma"": 0.9520886699394325, ""sigma_ratio"": 0.827013082418108, ""stride"": 1, ""temperature"": 1.1512377375647014}",R2_viability_relevant
